,screen_name,lang,created_at,fav_count,retweet_count,text,location
34,bkn2surabaya,in,2020-11-22 09:39:36,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Sidoarjo, Surabaya"
35,ronniefss17,in,2020-11-22 06:42:45,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Kepulauan Riau, Indonesia"
36,ayi1894,in,2020-11-22 04:32:52,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Sumatera Barat, Indonesia"
37,HendiYochanan,in,2020-11-22 04:10:11,0,178,"RT @BKNgoid: Dalam masa pemberkasan CPNS2019 ini, #SobatBKN g perlu terlalu khwatir dg berkas yg sdh diunggah, apakah sdh memenuhi syarat /…",
38,nggii49,in,2020-11-22 04:08:12,0,2180,"RT @p3kcpns: -- THREAD KUMPULAN BUKU CPNS DPF GRATIS --

Oke kali ini berhubung jelang CPNS 2019, mau kembali berbagi file soal, materi ata…",
39,HPrasetyob11,in,2020-11-21 23:58:22,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
40,Ranis99,in,2020-11-21 23:01:55,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
41,ApolosDuri,in,2020-11-21 22:54:57,0,0,"#LAPORBKN #CPNS2019 Ijin mau tanya, Kok BKD melaporkan kekurangan berkas 1 jam sebelum penutupan pemberkasan?
Dan k… https://t.co/u5hQLAovxq","Papua, Indonesia"
42,rieza_interisti,in,2020-11-21 22:26:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Medan
43,WiwikAn85883757,in,2020-11-21 18:32:07,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
