,Unnamed: 0,screen_name,lang,created_at,fav_count,retweet_count,text,location
22,22,EmiaFlorensya,in,2020-11-24 09:52:47,0,1412,"RT @adlcerdikiawan: #CPNS2019 Banyak banget yg dm jadi saya share disini ya nderr semoga sukses tes cpns nya🙏🏻
Materi dan latsol SKD/UKD 
h…","Sumatera Utara, Indonesia"
23,23,lampostco,in,2020-11-24 08:34:39,0,0,Pemerintah Kabupaten Pesawaran masih memprioritaskan untuk formasi kesehatan dan pendidikan pada seleksi Calon Pega… https://t.co/dOZTHc9YNe,"Lampung, Indonesia"
24,24,Jajan_melulu,in,2020-11-24 05:56:09,0,439,"RT @hellowooseok: 🍃 Pengalaman tes CPNS Kemenkumham 2018🍃 #CPNS2019 

A thread https://t.co/43J6XDKAue",
25,25,ari_014nugroho,in,2020-11-24 04:17:44,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Jogjakarta-Semarang
26,26,cowokedu,in,2020-11-24 00:26:12,0,0,"Hitung mundur, pindah dari Jakarta, utk jadi abdi negara, yang penting masih di Indonesia.

#BelaPersatuanBangsa… https://t.co/hP9vIDwKlr",Indonesia
27,27,AmbokariOctav,in,2020-11-23 13:12:12,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",📌Keerom Papua Indonesia
28,28,uliahikmah,in,2020-11-23 12:08:07,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
29,29,marisaastri,in,2020-11-23 09:24:45,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",heaven
30,30,HendiYochanan,in,2020-11-23 02:24:50,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
31,31,TornadoSinar,in,2020-11-23 01:23:25,0,5,"RT @kempanrb: Sahabat Muda, 4 orang peserta CPNS Kementerian PANRB yang dinyatakan lulus telah mengundurkan diri.
__
Pejabat Pembina Kepega…",
32,32,amelliajulita,in,2020-11-23 00:25:51,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Jakarta, Indonesia"
33,33,Komarud40072693,in,2020-11-22 13:57:11,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
34,34,bkn2surabaya,in,2020-11-22 09:39:36,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Sidoarjo, Surabaya"
35,35,ronniefss17,in,2020-11-22 06:42:45,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Kepulauan Riau, Indonesia"
36,36,ayi1894,in,2020-11-22 04:32:52,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Sumatera Barat, Indonesia"
37,37,HendiYochanan,in,2020-11-22 04:10:11,0,178,"RT @BKNgoid: Dalam masa pemberkasan CPNS2019 ini, #SobatBKN g perlu terlalu khwatir dg berkas yg sdh diunggah, apakah sdh memenuhi syarat /…",
38,38,nggii49,in,2020-11-22 04:08:12,0,2180,"RT @p3kcpns: -- THREAD KUMPULAN BUKU CPNS DPF GRATIS --

Oke kali ini berhubung jelang CPNS 2019, mau kembali berbagi file soal, materi ata…",
39,39,HPrasetyob11,in,2020-11-21 23:58:22,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
40,40,Ranis99,in,2020-11-21 23:01:55,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
41,41,ApolosDuri,in,2020-11-21 22:54:57,0,0,"#LAPORBKN #CPNS2019 Ijin mau tanya, Kok BKD melaporkan kekurangan berkas 1 jam sebelum penutupan pemberkasan?
Dan k… https://t.co/u5hQLAovxq","Papua, Indonesia"
42,42,rieza_interisti,in,2020-11-21 22:26:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Medan
43,43,WiwikAn85883757,in,2020-11-21 18:32:07,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
44,44,Bimantara48,in,2020-11-21 17:00:18,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Surabaya, Indonesia ."
45,45,Annisakhoriz,in,2020-11-21 15:12:02,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
46,46,updatecpns_com,in,2020-11-21 13:47:58,0,0,"#SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal… https://t.co/7uF0ZeNcBf",
47,47,GitaaSS,in,2020-11-21 13:26:12,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",West-central-east ind
48,48,Megayan48826771,in,2020-11-21 12:27:28,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
49,49,Renol_07,in,2020-11-21 11:39:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
50,50,_zzzaaa666,in,2020-11-21 11:37:47,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Yogyakarta, Indonesia"
51,51,katrimasinaga,in,2020-11-21 11:36:52,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Jakarta, Indonesia"
52,52,nmdtrynt,in,2020-11-21 10:36:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
53,53,eliaabeautyy,in,2020-11-21 09:56:18,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","medan,sumatra utara"
54,54,wattabi_,in,2020-11-21 09:13:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Surabaya, Jawa Timur"
55,55,kppn_jayapura,in,2020-11-21 08:40:21,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Jayapura
56,56,Gbigboss2,in,2020-11-21 07:22:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
57,57,holikkurniawan_,in,2020-11-21 07:11:41,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Banggai
58,58,RendiSa03267539,in,2020-11-21 06:52:29,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kalimantan Barat, Indonesia"
59,59,TornadoSinar,in,2020-11-21 06:50:05,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
60,60,Reginaddicts,in,2020-11-21 06:18:24,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","South Sumatra, Indonesia"
61,61,UtaryCarlina,in,2020-11-21 06:15:25,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Bandung, Indonesia"
62,62,thoyibfaisal,in,2020-11-21 06:03:23,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Banyuwangi, Indonesia"
63,63,KontanNews,in,2020-11-21 05:56:03,2,1,"Pemberkasan kelar Sabtu (21/11), kapan CPNS 2019 mulai bekerja? https://t.co/BK6Y8JhO5O #CPNS2019","Jakarta, Indonesia"
64,64,liau93,in,2020-11-21 05:55:52,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Indonesia
65,65,Rurur_ID,in,2020-11-21 05:54:43,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Yogyakarta, Yogyakarta"
66,66,medlistel_,in,2020-11-21 05:49:51,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Bengkulu, Indonesia"
67,67,riceinabowl131,in,2020-11-21 05:34:25,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Outer Space 🛸
68,68,agatachristy3,in,2020-11-21 05:34:01,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Tegal, Jawa Tengah"
69,69,LuckyEkki,in,2020-11-21 05:23:53,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Palopo, Sulawesi Selatan"
70,70,tribunjambiku,in,2020-11-21 05:15:40,0,0,"Kapan CPNS 2019 Mulai Bekerja? Bocoran Pembukaan Pendaftaran CPNS 2021 Sekitar Bulan Maret
 
#CPNS #pembukaancpns… https://t.co/2rnr75QdlP",Jambi
71,71,andieeeeer,in,2020-11-21 05:15:02,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","ÜT: -5.1371669,119.4782981"
72,72,stqmhh,in,2020-11-21 05:08:24,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Banjarmasin
73,73,lintangtingtung,in,2020-11-21 05:07:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Surabaya, Indonesia"
74,74,melukisenjaaa,in,2020-11-21 05:03:03,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Deep Sea
75,75,erikphitoyo1,in,2020-11-21 05:02:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Madiun
76,76,SUPRIYA28039536,in,2020-11-21 04:55:39,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
77,77,martinyepe2,in,2020-11-21 04:45:41,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
78,78,Putrii96,in,2020-11-21 04:45:09,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
79,79,mayowiinatasya,in,2020-11-21 04:44:44,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
80,80,APENG_23,in,2020-11-21 04:43:00,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Mataram - Lombok - NTB
81,81,rizkadwisvra,in,2020-11-21 04:34:28,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Medan,Indonesia"
82,82,hacloudies,in,2020-11-21 04:34:03,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Sapphire Blue Ocean 
83,83,faridk1810,in,2020-11-21 04:27:44,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Purwokerto Selatan, Indonesia"
84,84,Beny_Hartanto89,in,2020-11-21 04:22:21,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Bondowoso
85,85,yonikaps,in,2020-11-21 04:21:38,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
86,86,putribayu_,in,2020-11-21 04:20:23,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Jawa Barat, Indonesia"
87,87,candycoco__,in,2020-11-21 04:19:03,0,784,RT @adlcerdikiawan: #CPNS2019 ayo tetap semangat dan yang mau mulai belajar gue ada banyak soal soal yang mau rep aja🙏🏻 https://t.co/A73k7L…,
88,88,UlfatulGold,in,2020-11-21 04:17:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Indonesia
89,89,BKNgoid,in,2020-11-21 04:16:33,551,69,"#SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal… https://t.co/ZNlifAQGKj","Jakarta, Indonesia"
90,90,katrimasinaga,in,2020-11-21 03:07:51,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Jakarta, Indonesia"
91,91,jejejejelo,in,2020-11-20 22:22:10,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",(+62) 
92,92,imam_15,in,2020-11-20 14:35:54,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Sambas Kalimantan Barat
93,93,ayudyaane,in,2020-11-20 11:03:19,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
94,94,anzacia09,in,2020-11-20 09:46:58,0,30,"RT @abiridwan2173: Top 10 univ asal pelamar #CPNS2019 yg paling banyak lulus:

1. UT @UnivTerbuka 
2. UGM @UGMYogyakarta 
3. UPI @upi_offic…","Sungai Keruh, Indonesia"
95,95,anzacia09,in,2020-11-20 09:46:54,0,33,"RT @abiridwan2173: Fun fact lulusan seleksi #CPNS2019:

Jenis Kelamin
Wanita 60,93%
Pria 39,07%

Rentang Usia
18-20 1,49% 
21-25 31,43% 
26…","Sungai Keruh, Indonesia"
96,96,anzacia09,in,2020-11-20 09:43:38,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Sungai Keruh, Indonesia"
97,97,thoyibfaisal,en,2020-11-20 09:31:31,0,22,"RT @abiridwan2173: As of Nov 19, 2020 at 20.00, 98,72% of #CPNS2019 has uploaded their CVs into the system.

Whether you got the notif or n…","Banyuwangi, Indonesia"
98,98,Gbigboss2,in,2020-11-20 09:29:37,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
99,99,Gbigboss2,en,2020-11-20 09:27:39,0,22,"RT @abiridwan2173: As of Nov 19, 2020 at 20.00, 98,72% of #CPNS2019 has uploaded their CVs into the system.

Whether you got the notif or n…",
100,100,OnikSri,in,2020-11-20 05:54:42,0,178,"RT @BKNgoid: Dalam masa pemberkasan CPNS2019 ini, #SobatBKN g perlu terlalu khwatir dg berkas yg sdh diunggah, apakah sdh memenuhi syarat /…",
101,101,FiransyahNahar,in,2020-11-20 05:09:38,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Kota Makassar, Sulawesi Selata"
102,102,Rolyadins,in,2020-11-20 05:02:06,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
103,103,mofrizal,in,2020-11-20 04:56:11,0,22,"RT @abiridwan2173: Per 16 Nov 2020 pukul 15.00 WIB, 136.957 peserta pemberkasan #CPNS2019 telah unggah DRH.

Hiruk pikuk pembuatan SKCK, su…",Jakarta - Indonesia
104,104,abdulone_,in,2020-11-20 04:23:24,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
105,105,niasasnia,in,2020-11-20 03:55:02,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
106,106,FBilayudha,in,2020-11-20 03:35:14,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Belitung
107,107,elfhap,in,2020-11-20 03:34:45,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
108,108,risma13314861,in,2020-11-20 03:34:29,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
109,109,aigokamjagiyaa,in,2020-11-20 03:29:41,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
110,110,Mas_Hardiyanto,in,2020-11-20 03:29:41,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
111,111,abiridwan2173,in,2020-11-20 03:28:55,105,31,"In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Pel… https://t.co/BrygPTtneN","Jakarta, Indonesia"
0,0,Roy_Ritonga,in,2020-11-28 10:33:07,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Medan, Sumatera Utara"
1,1,kadek_susani,in,2020-11-27 14:41:14,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",indonesia
2,2,updatecpns_com,in,2020-11-27 13:41:51,1,0,Hai hai #sobatBKN kesayangan gimana kabarnya? Mimin mau nyampein kabar gembira nih buat #sobatBKN yang dari kemaren… https://t.co/0jLQ3aX9Tv,
3,3,updatecpns_com,in,2020-11-27 13:40:43,2,0,"Update Pertek dan Penetapan NIP #CPNS2019.
Hingga hari ini Jumat (27/11/2020) telah terbit Pertek dan Penetapan NIP… https://t.co/yYYAcMu58Y",
4,4,4dysuryanugraha,in,2020-11-26 12:30:01,0,7,"RT @BKNgoid: Hai #SobatBKN, terkait surat usulan Uji Kompetensi Kenaikan Jenjang Jabatan Fungsional Analis Kepegawaian dan Auditor Kepegawa…",Sidoarjo|Jawa Timur|Indonesia
5,5,mutmainnahmust_,in,2020-11-26 04:01:59,0,7,"RT @BKNgoid: Hai #SobatBKN, terkait surat usulan Uji Kompetensi Kenaikan Jenjang Jabatan Fungsional Analis Kepegawaian dan Auditor Kepegawa…","Kota Makassar, Sulawesi Selata"
6,6,BKNgoid,in,2020-11-26 04:00:19,110,7,"Hai #SobatBKN, terkait surat usulan Uji Kompetensi Kenaikan Jenjang Jabatan Fungsional Analis Kepegawaian dan Audit… https://t.co/zDiSa5rjzD","Jakarta, Indonesia"
7,7,Irma60936814,in,2020-11-24 13:43:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
8,8,bayuzigner,in,2020-11-24 11:27:59,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",Instagram.com/bayualdit
