,screen_name,lang,created_at,fav_count,retweet_count,text,location
27,Bimantara48,in,2020-11-21 17:00:18,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Surabaya, Indonesia ."
28,RembangBkd,in,2020-11-21 16:25:07,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",
29,Annisakhoriz,in,2020-11-21 15:12:02,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
30,ardianiputri230,in,2020-11-21 14:13:37,0,177,"RT @BKNgoid: ""Waktu mengajarkan betapa berharganya sebuah kesempatan"" ~SpongeBob 

Selamat malam #SobatBKN 

Istirahatkan lelah hari ini
Be…",Indonesia
31,updatecpns_com,in,2020-11-21 13:47:58,0,0,"#SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal… https://t.co/7uF0ZeNcBf",
32,GitaaSS,in,2020-11-21 13:26:12,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",West-central-east ind
33,Megayan48826771,in,2020-11-21 12:27:28,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
34,Renol_07,in,2020-11-21 11:39:48,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
35,_zzzaaa666,in,2020-11-21 11:37:47,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Yogyakarta, Indonesia"
36,katrimasinaga,in,2020-11-21 11:36:52,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Jakarta, Indonesia"
37,nmdtrynt,in,2020-11-21 10:36:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
38,eliaabeautyy,in,2020-11-21 09:56:18,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","medan,sumatra utara"
39,wattabi_,in,2020-11-21 09:13:50,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Kota Surabaya, Jawa Timur"
